Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,
1,33,1,11097,11428,,,,,,,,,,,,,,,,,,
1,575,q,11116,11136,,,,,,,,,,,,,,,,,,
1,q,575,11116,11136,,,,,,,,,,,,,,,,,,
1,489,604,11136,11139,,,,,,,,,,,,,,,,,,
1,604,489,11136,11139,,,,,,,,,,,,,,,,,,
1,489,604,11157,11163,,,,,,,,,,,,,,,,,,
1,604,489,11157,11163,,,,,,,,,,,,,,,,,,
1,489,604,11192,11201,,,,,,,,,,,,,,,,,,
1,604,489,11192,11201,,,,,,,,,,,,,,,,,,
1,452,489,11345,11424,,,,,,,,,,,,,,,,,,
1,489,452,11345,11424,,,,,,,,,,,,,,,,,,
1,1,489,11496,11666,,,,,,,,,,,,,,,,,,
1,489,1,11496,11666,,,,,,,,,,,,,,,,,,
1,564,732,11699,11702,,,,,,,,,,,,,,,,,,
1,732,564,11699,11702,,,,,,,,,,,,,,,,,,
1,463,564,11712,11715,,,,,,,,,,,,,,,,,,
1,564,463,11712,11715,,,,,,,,,,,,,,,,,,
1,452,489,11731,11788,,,,,,,,,,,,,,,,,,
1,489,452,11731,11788,,,,,,,,,,,,,,,,,,
1,452,489,11802,11813,,,,,,,,,,,,,,,,,,
1,489,452,11802,11813,,,,,,,,,,,,,,,,,,
1,32,732,11837,11849,,,,,,,,,,,,,,,,,,
1,732,32,11837,11849,,,,,,,,,,,,,,,,,,
1,452,666,11859,11873,,,,,,,,,,,,,,,,,,
1,666,452,11859,11873,,,,,,,,,,,,,,,,,,
1,452,489,11889,11893,,,,,,,,,,,,,,,,,,
1,489,452,11889,11893,,,,,,,,,,,,,,,,,,
1,33,666,11892,11944,,,,,,,,,,,,,,,,,,
