Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,36,199,6930,6944,,,,,,,,,,,,,,,,,,,,,
1,199,36,6930,6944,,,,,,,,,,,,,,,,,,,,,
1,166,46,6953,6967,,,,,,,,,,,,,,,,,,,,,
1,46,166,6953,6967,,,,,,,,,,,,,,,,,,,,,
1,797,199,7007,7184,,,,,,,,,,,,,,,,,,,,,
1,199,797,7007,7184,,,,,,,,,,,,,,,,,,,,,
1,15,331,7057,7094,,,,,,,,,,,,,,,,,,,,,
1,331,15,7057,7094,,,,,,,,,,,,,,,,,,,,,
1,33,161,7087,7115,,,,,,,,,,,,,,,,,,,,,
1,161,33,7087,7115,,,,,,,,,,,,,,,,,,,,,
1,15,331,7097,7215,,,,,,,,,,,,,,,,,,,,,
1,331,15,7097,7215,,,,,,,,,,,,,,,,,,,,,
1,33,161,7119,7125,,,,,,,,,,,,,,,,,,,,,
1,161,33,7119,7125,,,,,,,,,,,,,,,,,,,,,
1,166,46,7136,7148,,,,,,,,,,,,,,,,,,,,,
1,46,166,7136,7148,,,,,,,,,,,,,,,,,,,,,
1,33,161,7140,7156,,,,,,,,,,,,,,,,,,,,,
1,161,33,7140,7156,,,,,,,,,,,,,,,,,,,,,
1,33,161,7160,7167,,,,,,,,,,,,,,,,,,,,,
1,161,33,7160,7167,,,,,,,,,,,,,,,,,,,,,
1,36,76,7203,7451,,,,,,,,,,,,,,,,,,,,,
1,76,36,7203,7451,,,,,,,,,,,,,,,,,,,,,
1,175,429,7216,7356,,,,,,,,,,,,,,,,,,,,,
1,429,175,7216,7356,,,,,,,,,,,,,,,,,,,,,
1,33,161,7236,7238,,,,,,,,,,,,,,,,,,,,,
1,161,33,7236,7238,,,,,,,,,,,,,,,,,,,,,
1,33,161,7243,7249,,,,,,,,,,,,,,,,,,,,,
1,161,33,7243,7249,,,,,,,,,,,,,,,,,,,,,
1,598,331,7256,7302,,,,,,,,,,,,,,,,,,,,,
1,331,598,7256,7302,,,,,,,,,,,,,,,,,,,,,
1,428,790,7259,7265,,,,,,,,,,,,,,,,,,,,,
1,790,428,7259,7265,,,,,,,,,,,,,,,,,,,,,
1,819,199,7259,7276,,,,,,,,,,,,,,,,,,,,,
1,199,819,7259,7276,,,,,,,,,,,,,,,,,,,,,
1,36,797,7262,7482,,,,,,,,,,,,,,,,,,,,,
1,76,797,7262,7451,,,,,,,,,,,,,,,,,,,,,
1,797,36,7262,7482,,,,,,,,,,,,,,,,,,,,,
1,797,76,7262,7451,,,,,,,,,,,,,,,,,,,,,
1,199,594,7281,7284,,,,,,,,,,,,,,,,,,,,,
1,594,199,7281,7284,,,,,,,,,,,,,,,,,,,,,
1,161,269,7282,7305,,,,,,,,,,,,,,,,,,,,,
1,269,161,7282,7305,,,,,,,,,,,,,,,,,,,,,
1,15,819,7289,7305,,,,,,,,,,,,,,,,,,,,,
1,819,15,7289,7305,,,,,,,,,,,,,,,,,,,,,
1,15,819,7306,7308,,,,,,,,,,,,,,,,,,,,,
1,819,15,7306,7308,,,,,,,,,,,,,,,,,,,,,
1,269,161,7307,7317,,,,,,,,,,,,,,,,,,,,,
1,161,269,7307,7317,,,,,,,,,,,,,,,,,,,,,
